Key,File,Type,english
StyxSellBin,entityclasses,Entity Info,Sell Terminal
StyxBackpack,entityclasses,Entity Info,Styx Backpack
buffStyxVipUndeadName,buffs,Buff,VIP: Undead Slayer
buffStyxVipUndeadDesc,buffs,Buff,"Donor perk — deal +100% damage to zombies."
buffStyxVipHarvestName,buffs,Buff,VIP: Harvest Master
buffStyxVipHarvestDesc,buffs,Buff,"Donor perk — +100% harvest yield and +50% block damage."
buffStyxVipToughnessName,buffs,Buff,VIP: Toughness
buffStyxVipToughnessDesc,buffs,Buff,"Donor perk — +60 physical damage resist, +30% run speed, +40 carry slots."
styxRank_0,styx,Ui,Survivor [loc]
styxRank_1,styx,Ui,Veteran [loc]
styxRank_2,styx,Ui,Legend [loc]
styxRank_3,styx,Ui,Godlike [loc]
styxRank_4,styx,Ui,Transcendent [loc]
buffStyxInputProbeName,buffs,Buff,Styx Input Probe
buffStyxInputProbeDesc,buffs,Buff,"Routes key presses to the server (experiment)."
buffStyxHealFullName,buffs,Buff,Healing
styxPerms_0,styx,Ui,View my groups and effective perms
styxPerms_1,styx,Ui,List online players with their groups
styxPerms_2,styx,Ui,List all groups with member and perm counts
styxPerms_3,styx,Ui,Show perm system stats
styxPerms_4,styx,Ui,Close
# Launcher labels (styxLauncherPlugin_0..31) are generated by the framework
# into Mods/StyxRuntime/Config/Localization.txt at server shutdown. First
# boot after a plugin change shows "(empty slot)" until a restart refreshes
# the file — this is the documented "written at boot, used until restart"
# behaviour.
styxMenu_0,styx,Ui,Heal me to full
styxMenu_1,styx,Ui,Give drinking water x3
styxMenu_2,styx,Ui,Teleport 20m east
styxMenu_3,styx,Ui,Show server info
styxMenu_4,styx,Ui,Close menu
